headers;"Код заказа";Типоразмер;"Присоединительная резьба";Манометр;"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Диапазон регулирования, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
EAW3000-03DFJ15M;3000;G3/8;"Встроенный квадратный";Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;5;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;3998.74;"0 шт"
FEW-047MIDI;MIDI;G1/2;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…0.7;40;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;6815.60;"0 шт"
EAW4000-03DF25M;4000;G3/8;"Встроенный квадратный";Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;5;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;5792.93;"0 шт"
EAW4000-06CF2;4000;G3/4;"Встроенный квадратный";Полуавтоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;4921.73;"0 шт"
EAW4000-04CF2;4000;G1/2;"Встроенный квадратный";Полуавтоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;4921.73;"0 шт"
EAW3000-02CF2;3000;G1/4;"Встроенный квадратный";Полуавтоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;3126.24;"0 шт"
EAW3000-04DF25M;3000;G1/2;"Встроенный квадратный";Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;5;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;3998.74;"0 шт"
FEW-10MAXIA;MAXI;G1;"С манометром";Автоматический;"Сжатый воздух";-5…+60;0.2…1.2;0.05…1.2;40;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;12050.59;"0 шт"
FEW-105MMAXI;MAXI;G1;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;5;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;10044.10;"0 шт"
FEW-027MINI;MINI;G1/4;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…0.7;40;"Вертикально +/- 5°";22;"С монтажной скобой";Алюминий;Поликарбонат;3741.13;"0 шт"
EAW2000-02FJ2;2000;G1/4;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";11;"Без монтажной скобы";Алюминий;Поликарбонат;2481.58;"0 шт"
EAW3000-02DF1;3000;G1/4;"Встроенный квадратный";Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;3998.74;"0 шт"
FEW-025MMINI;MINI;G1/4;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;5;"Вертикально +/- 5°";22;"С монтажной скобой";Алюминий;Поликарбонат;3741.13;"0 шт"
FEW-065MMAXIA;MAXI;G3/4;"С манометром";Автоматический;"Сжатый воздух";-5…+60;0.2…1.2;0.05…1.2;5;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;12554.16;"0 шт"
EAW2000-02F1;2000;G1/4;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";11;"С монтажной скобой";Алюминий;Поликарбонат;2481.58;"0 шт"
FEW-01MINI;MINI;G1/8;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;40;"Вертикально +/- 5°";22;"С монтажной скобой";Алюминий;Поликарбонат;3858.93;"0 шт"
FEW-025MMIDI;MIDI;G1/4;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;5;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;6815.60;"0 шт"
FEW-045MMIDI;MIDI;G1/2;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;5;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;6815.60;"0 шт"
EAW3000-03CF25M;3000;G3/8;"Встроенный квадратный";Полуавтоматический;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;5;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;3126.24;"0 шт"
FEW-035MMIDI;MIDI;G3/8;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;5;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;6815.60;"0 шт"
FEW-107MAXI;MAXI;G1;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…0.7;40;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;10044.10;"0 шт"
FEW-045MNMIDI;MIDI;G1/2;"Без манометра";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;5;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;6590.35;"0 шт"
EAW3000-03FJ2;3000;G3/8;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;2978.67;"0 шт"
EAW3000-04FJ2;3000;G1/2;"Встроенный квадратный";Ручной;"Сжатый воздух";-5…+60;0.15…1;0.05…0.9;40;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;2978.67;"0 шт"
FEW-03MINI;MINI;G3/8;"С манометром";Ручной;"Сжатый воздух";-5…+60;0.1…1.6;0.05…1.2;40;"Вертикально +/- 5°";22;"С монтажной скобой";Алюминий;Поликарбонат;3803.27;"0 шт"
