headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
EAF4000-06J5M;4000;G3/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";75;"Без монтажной скобы";Алюминий;Поликарбонат;2970.90;"0 шт"
EAFD4000-06D;4000;G3/4;Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;8260.27;"0 шт"
EAF4000-06D;4000;G3/4;Автоматический;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;3787.74;"0 шт"
EAF4000-06;4000;G3/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;2768.96;"0 шт"
EAF3000-03;3000;G3/8;Ручной;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;1811.02;"0 шт"
EAF2000-01;2000;G1/8;Ручной;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";11;"С монтажной скобой";Алюминий;Поликарбонат;1335.93;"0 шт"
FEF-04MIDIA;MIDI;G1/2;Автоматический;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;6359.93;"0 шт"
EAFM3000-03;3000;G3/8;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;5175.45;"0 шт"
FEF-025MMINIA;MINI;G1/4;Автоматический;"Сжатый воздух";-5…+60;0.1…1.6;5;"Вертикально +/- 5°";22;"С монтажной скобой";Алюминий;Поликарбонат;4805.22;"0 шт"
EAF4000-04C;4000;G1/2;Полуавтоматический;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;2917.83;"0 шт"
FEF-065MMAXIA;MAXI;G3/4;Автоматический;"Сжатый воздух";-5…+60;0.1…1.6;5;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;9326.94;"0 шт"
EAFM3000-03D;3000;G3/8;Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;6057.01;"0 шт"
FEF-06MAXI;MAXI;G3/4;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;7207.83;"0 шт"
FEF-03MINI;MINI;G3/8;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";22;"С монтажной скобой";Алюминий;Поликарбонат;2557.95;"0 шт"
EAFD3000-02J;3000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;5065.42;"0 шт"
EAFM3000-02J;3000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;5065.42;"0 шт"
EAFD3000-03D;3000;G3/8;Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;6218.83;"0 шт"
EAF2000-015M;2000;G1/8;Ручной;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";11;"С монтажной скобой";Алюминий;Поликарбонат;1335.93;"0 шт"
FEF-025MMIDI;MIDI;G1/4;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;5;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;4055.70;"0 шт"
